freq(Hz)	pow(dB/Hz)
0	3.6744994309325536
10.7666015625	-1.06093531855026
21.533203125	-3.1082297766268536
32.2998046875	-2.395049745623161
43.06640625	-2.8655684061962643
53.8330078125	-2.1521983654564325
64.599609375	-1.8152125836653146
75.3662109375	-1.576228411950698
86.1328125	-0.9266461255132152
96.8994140625	-1.0205202561778077
107.666015625	-0.5360716490058397
118.4326171875	0.4690413411527386
129.19921875	0.46814551106560826
139.9658203125	1.1890123762446323
150.732421875	1.9618473780477768
161.4990234375	3.1134260486470344
172.265625	4.013558592695685
183.0322265625	5.472063529838555
193.798828125	7.373532634656291
204.5654296875	10.15986608772761
215.33203125	14.47358160044087
226.0986328125	25.639251909429746
236.865234375	20.02241963588682
247.6318359375	11.386636521820861
258.3984375	6.569704028968792
269.1650390625	3.175535912220222
279.931640625	1.1529524976815262
290.6982421875	-1.510757785591073
301.46484375	-3.880440461885013
312.2314453125	-4.841651512477663
322.998046875	-7.565721080342097
333.7646484375	-13.753630554279251
344.53125	-13.737871069625287
355.2978515625	-12.88167894361456
366.064453125	-25.109085565815448
376.8310546875	-22.520331659526448
387.59765625	-19.606407804615063
398.3642578125	-12.242318395116689
409.130859375	-9.874308135221359
419.8974609375	-5.814043000630841
430.6640625	-1.4657309887903152
441.4306640625	3.6531679362736824
452.197265625	11.69059733677371
462.9638671875	20.01437656076892
473.73046875	8.230616253896825
484.4970703125	3.5433428102484847
495.263671875	0.8018823202954439
506.0302734375	-0.6398312792371748
516.796875	-2.9920374023397738
527.5634765625	-3.888959648109237
538.330078125	-4.732684641899282
549.0966796875	-5.02230090906521
559.86328125	-5.934883050455123
570.6298828125	-5.481988104054921
581.396484375	-5.423401764052085
592.1630859375	-7.098028463097834
602.9296875	-8.030552967256027
613.6962890625	-8.315454118957607
624.462890625	-6.418460006829957
635.2294921875	-6.376463029137145
645.99609375	-7.058605953111863
656.7626953125	-6.127996219691631
667.529296875	-2.063515855492586
678.2958984375	3.0861430331365907
689.0625	24.579441719893474
699.8291015625	8.20550394749537
710.595703125	-2.6132435245225243
721.3623046875	-4.140134608184169
732.12890625	-7.524180737250347
742.8955078125	-11.437296018671459
753.662109375	-10.056455667400224
764.4287109375	-7.404880292580382
775.1953125	-7.845399253072657
785.9619140625	-10.881010235295282
796.728515625	-5.980603552554397
807.4951171875	-6.919722879184932
818.26171875	-8.505049463508263
829.0283203125	-8.124230875805093
839.794921875	-7.89212792029626
850.5615234375	-4.982220156443805
861.328125	-2.527402433844715
872.0947265625	-3.2283003816419025
882.861328125	0.1751105801925927
893.6279296875	4.4211011900330766
904.39453125	7.758048368591371
915.1611328125	17.808382517554726
925.927734375	15.102541113972643
936.6943359375	6.127462580846324
947.4609375	2.4237034977240883
958.2275390625	-0.3838271617097843
968.994140625	-0.4158803234694245
979.7607421875	-3.731103068286476
990.52734375	-6.233822591548707
1001.2939453125	-3.3323456129378193
1012.060546875	-10.409236223919452
1022.8271484375	-17.640378987566386
1033.59375	-10.39549655490105
1044.3603515625	-2.8028195005011183
1055.126953125	-12.946389939093478
1065.8935546875	-8.226818584889342
1076.66015625	-9.735648289060263
1087.4267578125	-8.869581285467211
1098.193359375	-8.377641261964378
1108.9599609375	-8.410649956542951
1119.7265625	-5.488274968378218
1130.4931640625	-4.355999610891567
1141.259765625	3.51719028584963
1152.0263671875	13.301522563355766
1162.79296875	1.0218484542162658
1173.5595703125	-7.728013877505909
1184.326171875	-7.280206391250811
1195.0927734375	-9.987183165452574
1205.859375	-18.37151232802299
1216.6259765625	-12.838158049633975
1227.392578125	-8.503193928417028
1238.1591796875	-8.679225470000869
1248.92578125	-8.650881175265713
1259.6923828125	-9.796881940206605
1270.458984375	-5.780958257984004
1281.2255859375	-16.404194905563497
1291.9921875	-19.611624104320565
1302.7587890625	-13.789699412290128
1313.525390625	-12.04885288557679
1324.2919921875	-7.7098360340859
1335.05859375	-15.337989552649292
1345.8251953125	-13.689878245243614
1356.591796875	-7.589319848362593
1367.3583984375	-0.7561465117259237
1378.125	16.880189212951805
1388.8916015625	3.684566632101845
1399.658203125	-2.7177067021752688
1410.4248046875	-19.14381416974414
1421.19140625	-20.893399476083225
1431.9580078125	-12.732669624987665
1442.724609375	-23.176666531148584
1453.4912109375	-26.097151538755355
1464.2578125	-10.446566182551836
1475.0244140625	-11.086281035834764
1485.791015625	-9.557914759817889
1496.5576171875	-14.340200684906442
1507.32421875	-8.701340982696568
1518.0908203125	-10.662830162216741
1528.857421875	-13.776292481462066
1539.6240234375	-16.12894712907217
1550.390625	-10.293338186982544
1561.1572265625	-15.731027171908531
1571.923828125	-12.866098477831736
1582.6904296875	-11.008807394191928
1593.45703125	-5.126381397498515
1604.2236328125	2.4451063222362417
1614.990234375	3.5480205194438783
1625.7568359375	-5.82382294141304
1636.5234375	-10.232677492853615
1647.2900390625	-11.578413220468791
1658.056640625	-7.663315880248847
1668.8232421875	-16.472009792897293
1679.58984375	-29.365629564186428
1690.3564453125	-14.754765027938086
1701.123046875	-13.56369850165855
1711.8896484375	-17.061887758338987
1722.65625	-18.427589531945145
1733.4228515625	-13.917364885069528
1744.189453125	-17.54598910550383
1754.9560546875	-19.851626281055722
1765.72265625	-20.35648442503254
1776.4892578125	-22.265263347476964
1787.255859375	-18.772795054893578
1798.0224609375	-23.223909864369553
1808.7890625	-29.55713194011937
1819.5556640625	-20.42313512707544
1830.322265625	-15.190739876591678
1841.0888671875	-3.246748513958588
1851.85546875	-15.887814535787598
1862.6220703125	-22.613452138414548
1873.388671875	-20.15209863458889
1884.1552734375	-15.883704554410512
1894.921875	-22.427876695948296
1905.6884765625	-26.684414437674118
1916.455078125	-19.398927358236435
1927.2216796875	-21.101861685509952
1937.98828125	-21.065459180118392
1948.7548828125	-20.362424088397773
1959.521484375	-19.41329421235792
1970.2880859375	-21.713451058485735
1981.0546875	-24.20706278638047
1991.8212890625	-27.76924582545959
2002.587890625	-21.691316069714635
2013.3544921875	-17.20036526326758
2024.12109375	-26.156311661707377
2034.8876953125	-31.294665807622245
2045.654296875	-24.300353109262804
2056.4208984375	-21.538529181367107
2067.1875	-8.305434109095959
2077.9541015625	-28.849744415466517
2088.720703125	-22.22412889389225
2099.4873046875	-20.74105543938552
2110.25390625	-20.80709510344199
2121.0205078125	-26.198390235205697
2131.787109375	-28.25431725560771
2142.5537109375	-22.698532048500798
2153.3203125	-23.212535085695517
2164.0869140625	-26.19403187795623
2174.853515625	-22.083202587374878
2185.6201171875	-23.55014258727858
2196.38671875	-27.514054444132277
2207.1533203125	-26.068313177481205
2217.919921875	-27.30252322259634
2228.6865234375	-24.39858632029675
2239.453125	-23.984021922722526
2250.2197265625	-38.47466092773986
2260.986328125	-28.950288386873787
2271.7529296875	-26.880529855140015
2282.51953125	-24.348477533286115
2293.2861328125	-11.694288937080765
2304.052734375	-13.237476966906227
2314.8193359375	-18.56778053200966
2325.5859375	-20.195766900557807
2336.3525390625	-21.387656034569815
2347.119140625	-24.277017889496612
2357.8857421875	-22.932545143917107
2368.65234375	-22.217222469313036
2379.4189453125	-29.36389195911819
2390.185546875	-22.38743256450189
2400.9521484375	-19.785269444217867
2411.71875	-24.754006889776235
2422.4853515625	-28.653405398215433
2433.251953125	-23.80669949277268
2444.0185546875	-23.687547689062374
2454.78515625	-23.176225677900582
2465.5517578125	-26.8178461188515
2476.318359375	-48.95707399233494
2487.0849609375	-27.910977387433647
2497.8515625	-35.0466196381872
2508.6181640625	-26.99214074446666
2519.384765625	-13.777889619140415
2530.1513671875	-4.925112769680108
2540.91796875	-11.942379384242434
2551.6845703125	-16.652863798340626
2562.451171875	-20.520777607718713
2573.2177734375	-29.48243661711846
2583.984375	-29.92329959449509
2594.7509765625	-15.581845138430177
2605.517578125	-22.552111100304163
2616.2841796875	-17.944775602765013
2627.05078125	-15.347864098799535
2637.8173828125	-28.52322455466904
2648.583984375	-23.887713755053184
2659.3505859375	-18.05951309098195
2670.1171875	-22.196738877624842
2680.8837890625	-24.946865461596268
2691.650390625	-19.299974486688434
2702.4169921875	-17.917373999540192
2713.18359375	-18.22409542473907
2723.9501953125	-17.006041235729224
2734.716796875	-12.799089614621174
2745.4833984375	-5.8546545869698505
2756.25	2.138013477866603
